Title,Author,Year,Source
Polexandre,Marin Le Roy de Gomberville,1619,Wikidata
L'Histoire comique de Francion,Charles Sorel,1623,Wikidata
Le Berger extravagant,Charles Sorel,1627,Wikidata
La Maison des jeux,Charles Sorel,1642,Wikidata
Polyandre,Charles Sorel,1648,Wikidata
Artamène ou le Grand Cyrus,Madeleine de Scudéry,1649,Wikidata
Le Roman comique,Paul Scarron,1651,Wikidata
"Clélie, histoire romaine",Madeleine de Scudéry,1654,Wikidata
Histoire comique des États et Empires de la Lune,Savinien Cyrano de Bergerac,1657,Wikidata
Histoire amoureuse des Gaules,Roger de Bussy-Rabutin,1665,Wikidata
Le Roman bourgeois,Antoine Furetière,1666,Wikidata
Lettres portugaises,Mariana Alcoforado,1669,Wikidata
Lettres portugaises,Gabriel de Guilleragues,1669,Wikidata
Lettres portugaises traduites en françois,Mariana Alcoforado,1669,Wikidata
Lettres portugaises traduites en françois,Gabriel de Guilleragues,1669,Wikidata
"Zaïde, histoire espagnole",Madame de Lafayette,1670,Wikidata
Dom Carlos,César Vichard de Saint-Réal,1673,Wikidata
La Princesse de Clèves,Madame de Lafayette,1678,Wikidata
Les Aventures de Télémaque,Fénelon,1699,Wikidata
Le Diable boiteux,Alain-René Lesage,1707,Wikidata
La Voiture embourbée,Marivaux,1714,Wikidata
Histoire de Gil Blas de Santillane,Alain-René Lesage,1715,Wikidata
L'Homère travesti ou L'Iliade en vers burlesques,Marivaux,1716,Wikidata
Lettres persanes,Montesquieu,1721,Wikidata
Arlequin roi de Serendib,Alain-René Lesage,1721,Wikidata
Le Temple de Gnide,Montesquieu,1725,Wikidata
Les Aventures de Pomponius chevalier romain ou L'Histoire de notre temps,Abbé Prévost,1728,Wikidata
Cleveland,Abbé Prévost,1731,Wikidata
Manon Lescaut,Abbé Prévost,1731,Wikidata
La Vie de Marianne,Marivaux,1731,Wikidata
"Les Aventures de Beauchesne, capitaine flibustier",Alain-René Lesage,1733,Wikidata
Le Paysan parvenu,Marivaux,1734,Wikidata
Mémoires du comte de Comminge,Claudine Guérin de Tencin,1735,Wikidata
Le Télémaque travesti,Marivaux,1736,Wikidata
"Pharsamon, ou les Nouvelles Folies romanesques",Marivaux,1737,Wikidata
Lettres juives,Jean-Baptiste Boyer d'Argens,1738,Wikidata
La Belle et la Bête,Gabrielle-Suzanne de Villeneuve,1740,Wikidata
Histoire d'une Grecque moderne,Abbé Prévost,1740,Wikidata
"Histoire de Dom Bougre, portier des Chartreux",Jean-Charles Gervaise de Latouche,1741,Wikidata
Confessions du comte de ***,Charles Pinot Duclos,1741,Wikidata
La Vie de Marianne,Marivaux,1742,Wikidata
"Le Sopha, conte moral",Claude-Prosper Jolyot de Crébillon,1742,Wikidata
"Tanastés, conte allégorique",Marie-Magdeleine de Bonafons,1745,Wikidata
Lettres d'une Péruvienne,Françoise de Graffigny,1747,Wikidata
Les Malheurs de l'amour,Claudine Guérin de Tencin,1747,Wikidata
Les Bijoux indiscrets,Denis Diderot,1748,Wikidata
Thérèse philosophe,Jean-Baptiste Boyer d'Argens,1748,Wikidata
Recherches philosophiques sur l’origine et la nature du beau,Denis Diderot,1751,Wikidata
Mémoires pour servir à l’histoire des mœurs du XVIII. siècle,Charles Pinot Duclos,1751,Wikidata
Narcisse ou l'Amant de lui-même,Jean-Jacques Rousseau,1752,Wikidata
Le beau-frère supposé,Gabrielle-Suzanne de Villeneuve,1752,Wikidata
"Naufrage des isles flottantes, ou Basiliade du célèbre Pilpai",Étienne-Gabriel Morelly,1753,Wikidata
La Jardinière de Vincennes,Gabrielle-Suzanne de Villeneuve,1753,Wikidata
Amilec,Charles-François Tiphaigne de La Roche,1753,Wikidata
Ah! quel conte!,Claude-Prosper Jolyot de Crébillon,1754,Wikidata
La Nuit et le moment,Claude-Prosper Jolyot de Crébillon,1755,Wikidata
Le Prince Chéri,Jeanne-Marie Leprince de Beaumont,1756,Wikidata
Magazin des enfans,Jeanne-Marie Leprince de Beaumont,1756,Wikidata
Sophie ou mémoires intéressans,André-Guillaume Contant d'Orville,1756,Wikidata
Le Fils naturel,Denis Diderot,1757,Wikidata
Mémoires de mesdemoiselles de Marsange,Gabrielle-Suzanne de Villeneuve,1757,Wikidata
Essai sur le goût,Montesquieu,1757,Wikidata
Lettres de mistriss Fanni Butlerd,Marie-Jeanne Riccoboni,1757,Wikidata
Le danger des passions,Henri Lambert de Thibouville,1757,Wikidata
L’école de l’amitié,Henri Lambert de Thibouville,1757,Wikidata
Lettre à D'Alembert sur les spectacles,Jean-Jacques Rousseau,1758,Wikidata
La reine Fantasque,Jean-Jacques Rousseau,1758,Wikidata
Histoire de M. le marquis de Cressy,Marie-Jeanne Riccoboni,1758,Wikidata
"Candide, ou l'Optimisme",Voltaire,1759,Wikidata
Lettres de Milady Juliette Catesby,Marie-Jeanne Riccoboni,1759,Wikidata
Le monde moral,Abbé Prévost,1760,Wikidata
Giphantie,Charles-François Tiphaigne de La Roche,1760,Wikidata
Mémoires de niiledi B …,Charlotte-Marie-Anne Charbonnier de La Guesnerie,1760,Wikidata
Julie ou la Nouvelle Héloïse,Jean-Jacques Rousseau,1761,Wikidata
Contes moraux,Jean-François Marmontel,1761,Wikidata
Émile ou De l'éducation,Jean-Jacques Rousseau,1762,Wikidata
Le Lévite d'Éphraïm,Jean-Jacques Rousseau,1762,Wikidata
Histoire d'Ernestine,Marie-Jeanne Riccoboni,1762,Wikidata
La paysanne philosophe,Marie-Anne Robert,1762,Wikidata
Le noble,Isabelle de Charrière,1763,Wikidata
Ollivier,Jacques Cazotte,1763,Wikidata
La voix de la nature,Marie-Anne Robert,1763,Wikidata
L’enfant trouvé,André-Guillaume Contant d'Orville,1763,Wikidata
Histoire de miss Jenny,Marie-Jeanne Riccoboni,1764,Wikidata
Histoire des Galligènes,Charles-François Tiphaigne de La Roche,1765,Wikidata
Voyage de Milord Céton dans les sept planètes,Marie-Anne Robert,1765,Wikidata
L’humanité,André-Guillaume Contant d'Orville,1765,Wikidata
