author,gender,pseudonym,title,title_en,subtitle,sep_edition,source,city,year_begin,genre,characters,narration,file_name,main_genre,general_genre,POS_title,title_length,canon_status,genre1,genre2,genre3,genre4,genre5
А.В.,мужской,1,Эпизод из владычества Биронова,An Episode from the Rule of Biron,историческая повесть,1,Отд. изд.,Санкт-Петербург,1837,исторический роман,легендарная историческая фигура,3 лицо,,исторический,исторический,NOUN PREP NOUN ADJS,4,0,,,,,
"Абельдяев, Дмитрий Алексеевич",мужской,0,Тень века сего (Записки Абашева),The Shadow of This Age (Abashev's Notes),роман,0,Русская мысль,,1912,"философский, любовный",,1 лицо,,философский,философский,NOUN NOUN ADJF NOUN NOUN,5,0,,,,,
"Абельдяев, Дмитрий Алексеевич",мужской,0,Лилии,Lilies,роман,1,Отд. изд.,Москва,1914,социальный роман,дворяне,3 лицо,,социальный,социальный,NOUN,1,0,,,,,
"Авдеев, Михаил Васильевич",мужской,0,Мои времена в 30-х годах,My Times in the Thirties,na,1,Молва,Москва,1876,,,,,,,ADJF NOUN PREP NUMR NOUN,5,0,,,,,
"Авдеев, Михаил Васильевич",мужской,0,Тамарин,Tamarin,трилогия,0,Современник,,1849,соц.-психологический,Дворяне,1 лицо,avdeev_m_tamarin_1849.xml,социально-психологический,социально-психологический,NOUN,1,0,социально-психологический,светский,,,
"Авдеев, Михаил Васильевич",мужской,0,Приличная партия,A Respectable Match,Отрывок из романа,0,Библиотека для чтения,,1856,"социально-психологический, дворяне",,3 лицо,,социально-психологический,социально-психологический,ADJF NOUN,2,0,,,,,
"Авдеев, Михаил Васильевич",мужской,0,Подводный камень,The Hidden Reef,,0,Современник,,1860,социальный роман,,3 лицо,avdeev_m_podvodnyj_kamen_1860.xml,социальный,социальный,ADJF NOUN,2,0,социально-психологический,любовный,адюльтерный,,
"Авдеев, Михаил Васильевич",мужской,0,Меж двух огней,Between Two Fires,Роман в 3 частях,0,Современное обозрение,,1868,социально-психологический,дворяне,3 лицо,avdeev_m_mezh_dvukh_ognej_1868.xml,социально-психологический,социально-психологический,PREP NUMR NOUN,3,0,социально-психологический,любовный,светский,,
"Авдеев, Михаил Васильевич",мужской,0,В сороковых годах,In the Forties,Повесть,0,Вестник Европы,,1876,социально-психологический,дворяне,3 лицо,,социально-психологический,социально-психологический,PREP ADJF NOUN,3,0,,,,,
"Авенариус, Василий Петрович",мужской,0,Три венца,Three Crowns,Историческая повесть из времен первого самозванца,0,Неделя,,1890,исторический роман,Лжедмитрий I,3 лицо,,исторический,исторический,NUMR NOUN,2,0,,,,,
"Аверкиев, Дмитрий Васильевич",мужской,0,История бледного молодого человека,The Story of a Pale Young Man,Роман в 3 книгах с прологом,0,Русский вестник,,1874,социально-психологический,разночинцы,1 лицо,averkiev_d_istoriya_blednogo_molodogo_cheloveka_1874.xml,социально-психологический,социально-психологический,NOUN ADJF ADJF NOUN,4,0,социально-психологический,нравоописательный,,,
"Аверкиев, Дмитрий Васильевич",мужской,0,Художник Беспалов и нотариус Полещиков,The Artist Bespalov and the Notary Poleshchikov,комический роман,0,Русское обозрение,,1893,"юмристический роман, художники, нотариусы","художники, рабочие, семейная пара",3 лицо,,,,NOUN NOUN CONJ NOUN NOUN,5,0,,,,,
Аверченко Аркадий Тимофеевич,мужской,0,Шутка мецената,The Patron's Jest,роман,1,Отд. изд.,Прага,1925,юмористический роман,русская интеллигенция,1 лицо,,юмористический,юмористический,NOUN NOUN,2,0,,,,,
"Авсеенко, Василий Григорьевич",мужской,0,Вавилонское пленение,The Babylonian Captivity,na,0,Санкт-Петербургские ведомости,,1884,психологический роман,,,,психологический,психологический,ADJF NOUN,2,0,,,,,
"Авсеенко, Василий Григорьевич",мужской,0,На распутьи,At the Crossroads,Роман,0,Заря,,1870,социально-психологический,,3 лицо,,социально-психологический,социально-психологический,PREP NOUN,2,0,,,,,
